
---------- Begin Simulation Statistics ----------
simSeconds                                   0.201930                       # Number of seconds simulated (Second)
simTicks                                 201930018500                       # Number of ticks simulated (Tick)
finalTick                                201930018500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    987.38                       # Real time elapsed on the host (Second)
hostTickRate                                204510174                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     675724                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      185151774                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   101278                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     187517                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        403860038                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       188217059                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       95                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      188305861                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     64                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3065364                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4301907                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   8                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           403789693                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.466346                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.259386                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     52.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      2086537      1.11%     53.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     86764712     46.08%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      188305861                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         0.466265                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              107771                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000572                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                780509245                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               191282688                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       187496038                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   188413622                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                         45540                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                         210158                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                       307430                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                  188217154                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      362                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      1985030                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                    86766987                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                        61                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                           777                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                       305745                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                174                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect                589                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect             917                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     1506                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                         188304355                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       2085732                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      1501                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           88850287                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       10868180                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     86764555                       # Number of stores executed (Count)
system.cpu.numRate                           0.466261                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                    188198478                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                   187496038                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                      83084849                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                     410881261                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            0.464260                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.202211                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                            2173                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           70345                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     185151774                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               4.038600                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          4.038600                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.247611                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.247611                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  265116836                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  90310152                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                         16                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                   570852206                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  130604927                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 355889535                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                      137                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        1985030                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      86766987                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       163253                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        22570                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                11047914                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          11038568                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              1780                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             11038233                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                11036982                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBMissPct             0.000113                       # BTB Miss Percentage (Ratio)
system.cpu.branchPred.BTBHitRatio            0.999887                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    3088                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 70                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             417                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                182                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              235                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          161                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1747159                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              87                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              1410                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    403564873                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.458791                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.262333                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       348331129     86.31%     86.31% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        11545709      2.86%     89.17% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         1055396      0.26%     89.44% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         8516383      2.11%     91.55% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        25761889      6.38%     97.93% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         7957699      1.97%     99.90% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           17761      0.00%     99.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           27749      0.01%     99.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          351158      0.09%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    403564873                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            100000000                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              185151774                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    87286748                       # Number of memory references committed (Count)
system.cpu.commit.loads                       1973024                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          34                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   10690682                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   174466761                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  2670                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     97864947     52.86%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           79      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     52.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     52.86% # Class of committed instruction (Count)
